date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:41	36411/36411	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:16:33%20GMT	https://phrikmedia.com.ng/newswing/careers-detailt.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/careers-detailt.html	(from https://phrikmedia.com.ng/newswing/)
09:56:42	27848/27848	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Oct%202023%2008:56:41%20GMT	https://phrikmedia.com.ng/newswing/job-apply.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/job-apply.html	(from https://phrikmedia.com.ng/newswing/)
09:56:43	31309/31309	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:16:43%20GMT	https://phrikmedia.com.ng/newswing/business-strategy.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/business-strategy.html	(from https://phrikmedia.com.ng/newswing/)
09:56:44	48589/48589	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:15:49%20GMT	https://phrikmedia.com.ng/newswing/faq.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/faq.html	(from https://phrikmedia.com.ng/newswing/)
09:56:44	37939/37939	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:15:28%20GMT	https://phrikmedia.com.ng/newswing/friendly-support.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/friendly-support.html	(from https://phrikmedia.com.ng/newswing/)
09:56:45	31310/31310	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:15:17%20GMT	https://phrikmedia.com.ng/newswing/managed-spend.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/managed-spend.html	(from https://phrikmedia.com.ng/newswing/)
09:56:46	101827/101827	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:11:52%20GMT	https://phrikmedia.com.ng/newswing/protection-stages.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/protection-stages.html	(from https://phrikmedia.com.ng/newswing/)
09:56:46	31315/31315	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:13:29%20GMT	https://phrikmedia.com.ng/newswing/leadmgt.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/leadmgt.html	(from https://phrikmedia.com.ng/newswing/)
09:56:47	37946/37946	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:13:19%20GMT	https://phrikmedia.com.ng/newswing/service-acceleration.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/service-acceleration.html	(from https://phrikmedia.com.ng/newswing/)
09:56:47	37951/37951	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:12:05%20GMT	https://phrikmedia.com.ng/newswing/ui-ux.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/ui-ux.html	(from https://phrikmedia.com.ng/newswing/)
09:56:48	100352/100352	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:13:03%20GMT	https://phrikmedia.com.ng/newswing/services-1.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/services-1.html	(from https://phrikmedia.com.ng/newswing/)
09:56:48	233248/233248	---M--	200	added ('OK')	text/css	date:Thu,%2021%20Sep%202023%2008:29:10%20GMT	https://phrikmedia.com.ng/newswing/style.css	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/style.css	(from https://phrikmedia.com.ng/newswing/)
09:56:49	31315/31315	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:13:40%20GMT	https://phrikmedia.com.ng/newswing/research-discovery.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/research-discovery.html	(from https://phrikmedia.com.ng/newswing/)
09:56:49	87133/87133	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:13:54%20GMT	https://phrikmedia.com.ng/newswing/pricing.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/pricing.html	(from https://phrikmedia.com.ng/newswing/)
09:56:49	121877/121877	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:12:51%20GMT	https://phrikmedia.com.ng/newswing/services-2.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/services-2.html	(from https://phrikmedia.com.ng/newswing/)
09:56:56	22041/22041	---M--	200	added ('OK')	text/html	date:Fri,%2022%20Sep%202023%2012:16:57%20GMT	https://phrikmedia.com.ng/newswing/404-error.html	C:/Users/SAMUEL/Desktop/Samuel/PPS/SWiNG%20CRM/phrikmedia.com.ng/newswing/404-error.html	(from https://phrikmedia.com.ng/newswing/)
